ID,#_Shazam_fr,#_votes_itunes,Artiste,Duree,Genre,Note_Moyenne_itunes,Sortie,Title
48976670,5358071,145,The Black Eyed Peas,1,Pop,4.3,3 juin 2009,I Gotta Feeling
413993533,1553771,17,El Profesor,2,Dance,4.5,13 avr. 2018,Bella Ciao (Hugel Remix)
96202525,9506358,72,George Ezra,5,Pop,4.1,30 juin 2014,Budapest
49704893,1436171,-,Jay-Z Feat. Rihanna & KanYe West,1,Hip-hop/Rap,-,1 janv. 2009,Run This Town
103201403,20048935,12,Clean Bandit Feat. Jess Glynne,1,Dance,4.7,2 juin 2014,Rather Be
338966616,4008586,13,Ed Sheeran,4,Pop,4.5,3 mars 2017,Castle On The Hill
434055540,11178,-,KSHMR,2,Dance,-,2 nov. 2018,Magic
426957973,128253,-,"Shenseea, Konshens & Rvssian",5,Reggae,-,15 juin 2018,Hard Drive
20112335,3334089,7,Jet,3,Rock,4.9,25 août 2003,Are You Gonna Be My Girl
441377117,76833,5,T.I. Feat. Young Thug,1,Hip-hop/Rap,4.6,5 oct. 2018,The Weekend
227351,5726028,-,The Verve,5,Pop,-,29 sept. 1997,Bitter Sweet Symphony
238155477,8512334,-,Matt Simons,4,Alternative,-,18 sept. 2015,Catch & Release (Deepend Remix)
443939864,20984,-,Naza Feat. KeBlack,9,Hip-hop/Rap,-,19 oct. 2018,On T'a Dit (Pbo)
441700649,18448,-,Jimilian Feat. 6ix9ine,2,Hip-hop/Rap,-,5 oct. 2018,Kick
45264120,185823,32,Michel Sardou,3,Variété française,4.3,1 sept. 1981,Les Lacs Du Connemara
411118,969340,-,The Whispers,1,R&B/Soul,-,1 janv. 1979,And The Beat Goes On
441445199,8301,-,Kamaleon,3,Pop,-,5 oct. 2018,Calor
274182433,8176770,29,Robin Schulz Feat. Francesco Yates,1,Dance,4.2,25 sept. 2015,Sugar
444419079,22502,69,"Gringe Feat. Orelsan, Vald & Suikon Blaz AD",5,Hip-hop/Rap,4.7,2 nov. 2018,Qui Dit Mieux
337165736,958975,-,Stefflon Don,3,Hip-hop/Rap,-,16 déc. 2016,16 Shots
52332325,502113,6,Guillaume Grand,4,R&B/Soul,4.8,1 sept. 2010,Toi Et Moi
40582512,156643,-,Nas,1,Pop,-,30 nov. 2004,Bridging The Gap
261497,3283504,-,Gloria Gaynor,1,Pop,-,1 nov. 1994,I Will Survive
447608488,8803,-,Known,2,Hip-hop/Rap,-,3 nov. 2018,Get Your Money Up
296831279,11346579,709,Justin Bieber,1,Pop,4.5,13 nov. 2015,Love Yourself
258114,2309657,-,The Moody Blues,1,Rock,-,9 mars 1993,Nights In White Satin
366278601,17678,-,Blue Hawaii,4,Électronique,-,6 oct. 2017,No One Like You
445091845,5617,6,Kery James,4,Hip-hop/Rap,4.5,22 oct. 2018,J'rap Encore
406020516,3002494,-,Sofia Reyes Feat. Jason Derulo & De La Ghetto,3,Latino,-,16 févr. 2018,"1, 2, 3"
263104,1138016,-,Diana Ross,2,R&B/Soul,-,22 mai 1980,Upside Down
384744923,6074,-,Bliks & Kisen & BJAM,3,Hip-hop/Rap,-,28 nov. 2017,Wanted 2018
451253591,11905,-,6ix9ine Feat. Anuel AA,3,Hip-hop/Rap,-,27 nov. 2018,MALA
424170436,203215,364,Damso,5,Hip-hop/Rap,4.6,15 juin 2018,Feu De Bois
426992883,1656797,-,Martin Garrix Feat. Khalid,3,Dance,-,15 juin 2018,Ocean
444528901,4435,-,Balthazar,4,Alternative,-,-,Entertainment
381071511,6427,-,The Limiñanas,1,Alternative,-,17 nov. 2017,Nuit Fantôme
422849,2158790,12,The Buggles,4,Pop,4.3,1 janv. 1980,Video Killed The Radio Star
390870,1917337,-,The Doobie Brothers,4,Rock,-,29 oct. 1976,Long Train Runnin'
240760,3666539,5,Cyndi Lauper,1,Pop,5.0,26 juin 1984,Girls Just Want To Have Fun
435292027,37422,-,Asakura,2,Hip-hop/Rap,-,9 août 2018,Karaba
11227709,4693082,33,Evanescence,4,Rock,4.8,4 mars 2003,My Immortal
434624972,129199,-,A-Star,3,Musiques du monde,-,23 janv. 2018,Kupe Dance
10472897,67771,-,Geordie,1,Rock,-,22 nov. 2010,House Of The Rising Sun
408421621,313404,-,DJ Kayz Feat. Wassila & Scridge,3,Hip-hop/Rap,-,2 mars 2018,Jour J
367614876,737675,-,MC Gustta & MC DG,3,Baile funk,-,25 juil. 2017,Abusadamente
444176270,48608,-,Fatboy Slim,3,Dance,-,2 nov. 2018,Praise You (Purple Disco Machine Remix)
266407,5667354,12,The Police,4,Rock,4.4,1 juin 1983,Every Breath You Take
52166505,2576699,17,Kavinsky,3,Électronique,4.0,10 sept. 2010,Nightcall
52824344,140707,13,Elsa,1,Variété française,4.5,1 janv. 2006,T'en Vas Pas
339901639,63256,-,The Living Tombstone Feat. BlackGryph0n & LittleJayneyCakes,5,Pop,-,12 janv. 2017,No Mercy
412788452,23532,46,Lefa Feat. S.Pri Noir & Dadju,4,Hip-hop/Rap,4.6,6 avr. 2018,J'me Téléporte
312509,1232493,-,Yazoo,4,Pop,-,1 juil. 1982,Don't Go
443984107,3232,-,Fanny Polly,3,Hip-hop/Rap,-,7 nov. 2018,Dunk
124028799,1343746,371,Marina Kaye,4,Pop,4.5,18 mai 2015,Homeless
439605065,9435,-,Delta,2,Pop,-,21 sept. 2018,Notre Adn
444320689,20937,273,Johnny Hallyday,3,Variété française,3.7,19 oct. 2018,J'en Parlerai Au Diable
93723589,5922314,655,Avicii,5,House,4.6,17 sept. 2013,Addicted To You
275383992,1152190,11,Eric Prydz,2,Électronique,5.0,5 févr. 2016,Opus
287664599,4747148,28,Yall Feat. Gabriela Richardson,2,Dance,4.0,16 oct. 2015,Hundred Miles
404173719,347224,-,Afro B,3,Musiques du monde,-,16 févr. 2018,Drogba (Joanna)
429486908,795302,-,Ozuna Feat. Manuel Turizo,-,-,-,-,Vaina Loca
414762648,3952331,311,Ariana Grande,4,Pop,4.7,17 août 2018,No Tears Left To Cry
456723,148069,-,Aretha Franklin,2,R&B/Soul,-,14 juin 1968,You Send Me
