,Artiste,Titre,Listeners,Unnamed: 3,Unnamed: 4
335,anderson-paak,cheers-feat-q-tip,19036,,
336,metro-boomin,overdue-with-travis-scott,18893,,
337,aerosmith,dream-on,964577,,
338,lana-del-rey,born-to-die,799725,,
339,ariana-grande,better-off,54399,,
340,simple-minds,dont-you-forget-about-me,666922,,
341,depeche-mode,enjoy-the-silence,874094,,
342,lorde,homemade-dynamite,148367,,
343,mumford-sons,if-i-say,23460,,
344,ariana-grande,raindrops-an-angel-cried,66484,,
345,muse,starlight,1341181,,
346,queen,youre-my-best-friend-remastered-2011,83362,,
347,oasis,wonderwall,1865134,,
348,radiohead,high-and-dry,1063834,,
349,trippie-redd,topanga,21169,,
350,the-kooks,naive,1091889,,
351,ed-sheeran,perfect,203987,,
352,tyler-the-creator,boredom,108596,,
353,twenty-one-pilots,morph,50343,,
354,harry-styles,sign-of-the-times,188090,,
355,metro-boomin,dreamcatcher-feat-swae-lee-travis-scott,18522,,
356,blur,song-2-2012-remastered-version,169246,,
357,kids-see-ghosts,fire,70643,,
358,lynyrd-skynyrd,sweet-home-alabama,1044324,,
359,thom-yorke,suspirium,42574,,
360,led-zeppelin,whole-lotta-love,914423,,
361,eurythmics,sweet-dreams-are-made-of-this-remastered,163199,,
362,the-weeknd,the-hills,350938,,
363,kids-see-ghosts,cudi-montage,66328,,
364,lorde,team,583373,,
365,the-offspring,the-kids-arent-alright,969244,,
366,bon-jovi,livin-on-a-prayer,899219,,
367,jimmy-eat-world,the-middle,942575,,
368,the-killers,when-you-were-young,1352221,,
369,robyn,because-its-in-the-music,26451,,
370,twenty-one-pilots,chlorine,40050,,
371,bazzi,beautiful-feat-camila-cabello,60991,,
372,queen,radio-ga-ga-remastered,26785,,
373,queen,the-show-must-go-on,645579,,
374,shawn-mendes,in-my-blood,102347,,
375,britney-spears,baby-one-more-time,558827,,
376,childish-gambino,feels-like-summer,74822,,
377,lorde,the-louvre,133183,,
378,eminem,lucky-you-feat-joyner-lucas,85370,,
379,spice-girls,wannabe,391338,,
380,bebe-rexha,im-a-mess,62918,,
381,the-weeknd,i-feel-it-coming,228173,,
382,of-monsters-and-men,little-talks,877145,,
383,eagles,hotel-california-remastered,98186,,
384,kanye-west,yikes,97040,,
385,the-police,every-breath-you-take-remastered-2003,116970,,
386,lorde,supercut,128969,,
387,mac-miller,self-care,52092,,
388,twenty-one-pilots,nico-and-the-niners,60477,,
389,french-montana,no-stylist,35425,,
390,evanescence,bring-me-to-life,1087845,,
391,lil-peep,life-is-beautiful,17931,,
392,camila-cabello,never-be-the-same,130371,,
393,anne-marie,2002,87424,,
394,frank-ocean,solo,145900,,
395,the-cure,just-like-heaven,945385,,
396,vampire-weekend,a-punk,1114903,,
397,guns-n-roses,welcome-to-the-jungle,1233394,,
398,no-doubt,dont-speak,974108,,
399,the-who,baba-oriley,847656,,
400,the-smiths,there-is-a-light-that-never-goes-out-2011-remastered-version,240313,,
401,kendrick-lamar,love-feat-zacari,170764,,
402,tyler-the-creator,who-dat-boy,115536,,
403,drake,one-dance,325296,,
404,brockhampton,bleach,79873,,
405,lorde,sober,142405,,
406,twenty-one-pilots,heathens,283806,,
407,6ix9ine,fefe-feat-nicki-minaj-murda-beatz,67935,,
408,bastille,pompeii,702927,,
409,the-black-keys,lonely-boy,785102,,
410,post-malone,congratulations,161128,,
411,lady-gaga,telephone-feat-beyonce,688703,,
412,post-malone,i-fall-apart,135552,,
413,muse,algorithm-alternate-reality-version,17727,,
414,little-mix,told-you-so,17689,,
415,the-chainsmokers,something-just-like-this,207971,,
416,hozier,movement,17934,,
417,lil-peep,broken-smile-my-all,17620,,
418,imagine-dragons,only,17641,,
419,jay-rock,kings-dead-with-kendrick-lamar-future-james-blake,108125,,
420,rihanna,umbrella,867084,,
421,gnarls-barkley,crazy,1093265,,
422,the-chainsmokers,beach-house,17923,,
423,paramore,hard-times,148668,,
424,marshmello,friends,125344,,
425,the-rolling-stones,gimme-shelter,941692,,
