Name,titre,Listeners,,
Queen,You're My Best Friend - Remastered 2011,83362,,
Oasis,Wonderwall,1865134,,
Radiohead,High and Dry,1063834,,
Trippie Redd,Topanga,21169,,
The Kooks,Naïve,1091889,,
Ed Sheeran,Perfect,203987,,
"Tyler, the Creator",Boredom,108596,,
Twenty One Pilots,Morph,50343,,
Harry Styles,Sign Of The Times,188090,,
Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),18522,,
Blur,Song 2 - 2012 Remastered Version,169246,,
Kids See Ghosts,Fire,70643,,
Lynyrd Skynyrd,Sweet Home Alabama,1044324,,
Thom Yorke,Suspirium,42574,,
Led Zeppelin,Whole Lotta Love,914423,,
Eurythmics,Sweet Dreams (Are Made of This) - Remastered,163199,,
The Weeknd,The Hills,350938,,
Kids See Ghosts,Cudi Montage,66328,,
Lorde,Team,583373,,
The Offspring,The Kids Aren't Alright,969244,,
Bon Jovi,Livin' on a Prayer,899219,,
Jimmy Eat World,The Middle,942575,,
The Killers,When You Were Young,1352221,,
Robyn,Because It's In The Music,26451,,
Twenty One Pilots,Chlorine,40050,,
bazzi,Beautiful (feat. Camila Cabello),60991,,
Queen,Radio Ga Ga - Remastered,26785,,
Queen,The Show Must Go On,645579,,
Shawn Mendes,In My Blood,102347,,
Britney Spears,...Baby One More Time,558827,,
Childish Gambino,Feels Like Summer,74822,,
Lorde,The Louvre,133183,,
Eminem,Lucky You (feat. Joyner Lucas),85370,,
Spice Girls,Wannabe,391338,,
Bebe Rexha,I'm a Mess,62918,,
The Weeknd,I Feel It Coming,228173,,
Of Monsters and Men,Little Talks,877145,,
Eagles,Hotel California - Remastered,98186,,
Kanye West,Yikes,97040,,
The Police,Every Breath You Take - Remastered 2003,116970,,
Lorde,Supercut,128969,,
Mac Miller,Self Care,52092,,
Twenty One Pilots,Nico And The Niners,60477,,
French Montana,No Stylist,35425,,
Evanescence,Bring Me to Life,1087845,,
LIL PEEP,Life is Beautiful,17931,,
Camila Cabello,Never Be The Same,130371,,
Anne-Marie,2002,87424,,
Frank Ocean,Solo,145900,,
The Cure,Just Like Heaven,945385,,
